"Model","RMSE","MAE","MAPE"
"ETS",1382.32763050608,1008.28638080625,7.46333765243875
"HoltWinters",1345.24446465652,1030.07802248477,7.69734331633278
"SARIMA",1111.63313353023,927.85809986343,7.13187676498416
